title,cluster,cluster_description
542 11,3,Amenity Grassland
542 1,3,Amenity Grassland
654 2,2,Built Surface
654 6,2,Built Surface
654 5,2,Built Surface
654 12,2,Built Surface
917 7,1,Woodland and Scrub
917 1,1,Woodland and Scrub
917 9,3,Amenity Grassland
917 8,3,Amenity Grassland
917 5,1,Woodland and Scrub
917 6,1,Woodland and Scrub
917 11,1,Woodland and Scrub
948 5,3,Amenity Grassland
948 3,1,Woodland and Scrub
948 9,1,Woodland and Scrub
948 8,1,Woodland and Scrub
948 7,1,Woodland and Scrub
948 2,2,Built Surface
948 4,2,Built Surface
713 3,1,Woodland and Scrub
713 6,1,Woodland and Scrub
713 9,1,Woodland and Scrub
713 8,2,Built Surface
713 12,2,Built Surface
776 9,1,Woodland and Scrub
776 5,1,Woodland and Scrub
776 11,1,Woodland and Scrub
776 1,1,Woodland and Scrub
776 3,1,Woodland and Scrub
776 2,1,Woodland and Scrub
776 12,2,Built Surface
663 6,2,Built Surface
663 3,3,Amenity Grassland
663 7,2,Built Surface
663 5,3,Amenity Grassland
663 8,2,Built Surface
566 8,3,Amenity Grassland
566 7,1,Woodland and Scrub
566 1,1,Woodland and Scrub
566 4,1,Woodland and Scrub
566 6,1,Woodland and Scrub
566 5,1,Woodland and Scrub
566 3,3,Amenity Grassland
547 11,1,Woodland and Scrub
547 5,3,Amenity Grassland
547 7,3,Amenity Grassland
547 1,1,Woodland and Scrub
547 10,1,Woodland and Scrub
547 8,1,Woodland and Scrub
547 2,1,Woodland and Scrub
580 6,3,Amenity Grassland
580 5,3,Amenity Grassland
580 2,3,Amenity Grassland
580 1,3,Amenity Grassland
580 3,3,Amenity Grassland
580 7,3,Amenity Grassland
580 4,1,Woodland and Scrub
369 1,3,Amenity Grassland
369 10,3,Amenity Grassland
369 7,3,Amenity Grassland
369 3,2,Built Surface
369 12,2,Built Surface
369 8,2,Built Surface
403 6,2,Built Surface
403 12,2,Built Surface
403 4,2,Built Surface
403 7,2,Built Surface
403 3,2,Built Surface
420 8,2,Built Surface
420 9,2,Built Surface
420 10,2,Built Surface
420 1,2,Built Surface
420 11,2,Built Surface
420 2,1,Woodland and Scrub
420 7,2,Built Surface
421 4,1,Woodland and Scrub
421 1,1,Woodland and Scrub
421 10,1,Woodland and Scrub
421 2,1,Woodland and Scrub
421 3,1,Woodland and Scrub
421 8,1,Woodland and Scrub
421 6,2,Built Surface
792 3,2,Built Surface
792 11,2,Built Surface
792 4,2,Built Surface
559 8,2,Built Surface
559 3,2,Built Surface
559 5,2,Built Surface
559 1,2,Built Surface
559 4,2,Built Surface
559 2,2,Built Surface
559 6,2,Built Surface
